name,tag,sd,sd_tag,sgg,sgg_tag,latitude,longitude
부산광역시 중구,부산 중구,부산광역시,부산,중구,중구,35.106214,129.032352
대구광역시 달성군,대구 달성,대구광역시,대구,달성군,달성,35.7746,128.431445
대구광역시 달서구,대구 달서,대구광역시,대구,달서구,달서,35.8298667,128.5327375
대구광역시 수성구,대구 수성,대구광역시,대구,수성구,수성,35.8581654,128.630625
대구광역시 북구,대구 북구,대구광역시,대구,북구,북구,35.885684,128.582947
대구광역시 남구,대구 남구,대구광역시,대구,남구,남구,35.846,128.597486
대구광역시 서구,대구 서구,대구광역시,대구,서구,서구,35.871757,128.559175
대구광역시 동구,대구 동구,대구광역시,대구,동구,동구,35.886664,128.635609
대구광역시 중구,대구 중구,대구광역시,대구,중구,중구,35.8693404,128.6062
대구광역시 군위군,대구 군위,대구광역시,대구,군위군,군위,36.242945,128.572657
인천광역시 옹진군,인천 옹진,인천광역시,인천,옹진군,옹진,37.446607,126.63676
인천광역시 강화군,인천 강화,인천광역시,인천,강화군,강화,37.746498,126.488052
인천광역시 서구,인천 구로,인천광역시,인천,서구,구로,37.545449,126.675994
인천광역시 계양구,인천 계양,인천광역시,인천,계양구,계양,37.5374147,126.7377757
인천광역시 부평구,인천 부평,인천광역시,인천,부평구,부평,37.5070563,126.7218378
인천광역시 남동구,인천 남동,인천광역시,인천,남동구,남동,37.447342,126.731488
인천광역시 연수구,인천 연수,인천광역시,인천,연수구,연수,37.4101675,126.67828
인천광역시 미추홀구,인천 미추홀,인천광역시,인천,미추홀구,미추홀,37.4635229,126.6505841
인천광역시 동구,인천 동구,인천광역시,인천,동구,동구,37.4738846,126.6432125
인천광역시 중구,인천 중구,인천광역시,인천,중구,중구,37.473781,126.621588
광주광역시 광산구,광주 광산,광주광역시,광주,광산구,광산,35.1395085,126.7936834
광주광역시 북구,광주 북구,광주광역시,광주,북구,북구,35.17406,126.911963
광주광역시 남구,광주 남구,광주광역시,광주,남구,남구,35.1330039,126.902402
광주광역시 서구,광주 서구,광주광역시,광주,서구,서구,35.151969,126.890272
광주광역시 동구,광주 동구,광주광역시,광주,동구,동구,35.1460818,126.9232859
대전광역시 대덕구,대전 대덕,대전광역시,대전,대덕구,대덕,36.346735,127.415502
대전광역시 유성구,대전 유성,대전광역시,대전,유성구,유성,36.3623219,127.3562683
대전광역시 서구,대전 서구,대전광역시,대전,서구,서구,36.355504,127.383844
대전광역시 중구,대전 중구,대전광역시,대전,중구,중구,36.3256594,127.4215464
대전광역시 동구,대전 동구,대전광역시,대전,동구,동구,36.312169,127.454884
울산광역시 울주군,울산 울주,울산광역시,울산,울주군,울주,35.5220885,129.2422295
울산광역시 북구,울산 북구,울산광역시,울산,북구,북구,35.582709,129.361313
울산광역시 동구,울산 동구,울산광역시,울산,동구,동구,35.504844,129.416632
울산광역시 남구,울산 남구,울산광역시,울산,남구,남구,35.543798,129.330109
울산광역시 중구,울산 중구,울산광역시,울산,중구,중구,35.56945,129.3327
세종특별자치시,세종 ,세종특별자치시,세종,,,36.4803512,127.2894325
경기도 양평군,경기 양평,경기도,경기,양평군,양평,37.491791,127.487597
경기도 가평군,경기 가평,경기도,경기,가평군,가평,37.831508,127.509541
경기도 연천군,경기 연천,경기도,경기,연천군,연천,38.096738,127.074755
경기도 여주시,경기 여주,경기도,경기,여주시,여주,37.298176,127.637218
경기도 포천시,경기 포천,경기도,경기,포천시,포천,37.894867,127.2002404
경기도 양주시,경기 양주,경기도,경기,양주시,양주,37.785329,127.045847
경기도 광주시,경기 광주,경기도,경기,광주시,광주,37.4294306,127.2550476
경기도 화성시,경기 화성,경기도,경기,화성시,화성,37.199565,126.831405
경기도 김포시,경기 김포,경기도,경기,김포시,김포,37.61535,126.715544
경기도 안성시,경기 안성,경기도,경기,안성시,안성,37.0080546,127.2797732
경기도 이천시,경기 이천,경기도,경기,이천시,이천,37.272342,127.435034
경기도 파주시,경기 파주,경기도,경기,파주시,파주,37.760186,126.779883
경기도 용인시,경기 용인,경기도,경기,용인시,용인,37.2412522,127.1774916
경기도 하남시,경기 하남,경기도,경기,하남시,하남,37.5393014,127.2148742
경기도 의왕시,경기 의왕,경기도,경기,의왕시,의왕,37.3448869,126.9682786
경기도 군포시,경기 군포,경기도,경기,군포시,군포,37.361523,126.935338
경기도 시흥시,경기 시흥,경기도,경기,시흥시,시흥,37.380177,126.802934
경기도 오산시,경기 오산,경기도,경기,오산시,오산,37.149887,127.077462
경기도 남양주시,경기 남양주,경기도,경기,남양주시,남양주,37.635985,127.216467
경기도 구리시,경기 구리,경기도,경기,구리시,구리,37.594266,127.129632
경기도 과천시,경기 과천,경기도,경기,과천시,과천,37.4292013,126.987675
경기도 고양시,경기 고양,경기도,경기,고양시,고양,37.6583981,126.8319831
경기도 안산시,경기 안산,경기도,경기,안산시,안산,37.3219123,126.8308176
경기도 동두천시,경기 동두천,경기도,경기,동두천시,동두천,37.903662,127.060671
경기도 평택시,경기 평택,경기도,경기,평택시,평택,36.9923537,127.1126947
경기도 광명시,경기 광명,경기도,경기,광명시,광명,37.4786176,126.8646504
경기도 부천시,경기 부천,경기도,경기,부천시,부천,37.5035917,126.766
경기도 안양시,경기 안양,경기도,경기,안양시,안양,37.3942905,126.9567534
경기도 의정부시,경기 의정부,경기도,경기,의정부시,의정부,37.738083,127.033753
경기도 성남시,경기 성남,경기도,경기,성남시,성남,37.4200267,127.1267772
경기도 수원시,경기 수원,경기도,경기,수원시,수원,37.263476,127.028646
강원특별자치도 양양군,강원 양양,강원특별자치도,강원,양양군,양양,38.075493,128.619145
강원특별자치도 고성군,강원 고성,강원특별자치도,강원,고성군,고성,38.3806154,128.4678625
강원특별자치도 인제군,강원 인제,강원특별자치도,강원,인제군,인제,38.069732,128.170352
강원특별자치도 양구군,강원 양구,강원특별자치도,강원,양구군,양구,38.109992,127.99
강원특별자치도 화천군,강원 화천,강원특별자치도,강원,화천군,화천,38.106181,127.708216
강원특별자치도 철원군,강원 철원,강원특별자치도,강원,철원군,철원,38.146861,127.313472
강원특별자치도 정선군,강원 정선,강원특별자치도,강원,정선군,정선,37.380609,128.660871
강원특별자치도 평창군,강원 평창,강원특별자치도,강원,평창군,평창,37.37077,128.390193
강원특별자치도 영월군,강원 영월,강원특별자치도,강원,영월군,영월,37.183774,128.46185
강원특별자치도 횡성군,강원 횡성,강원특별자치도,강원,횡성군,횡성,37.491803,127.985022
강원특별자치도 홍천군,강원 홍천,강원특별자치도,강원,홍천군,홍천,37.697207,127.888518
강원특별자치도 삼척시,강원 삼척,강원특별자치도,강원,삼척시,삼척,37.4499354,129.1651479
강원특별자치도 속초시,강원 속초,강원특별자치도,강원,속초시,속초,38.207169,128.59184
강원특별자치도 태백시,강원 태백,강원특별자치도,강원,태백시,태백,37.164132,128.985735
강원특별자치도 동해시,강원 동해,강원특별자치도,강원,동해시,동해,37.5247583,129.1142625
강원특별자치도 강릉시,강원 강릉,강원특별자치도,강원,강릉시,강릉,37.752175,128.875836
강원특별자치도 원주시,강원 원주,강원특별자치도,강원,원주시,원주,37.3423179,127.9199688
강원특별자치도 춘천시,강원 춘천,강원특별자치도,강원,춘천시,춘천,37.8813739,127.7300034
충청북도 단양군,충북 단양,충청북도,충북,단양군,단양,36.984539,128.365589
충청북도 음성군,충북 음성,충청북도,충북,음성군,음성,36.940282,127.690487
충청북도 괴산군,충북 괴산,충청북도,충북,괴산군,괴산,36.815381,127.786704
충청북도 진천군,충북 진천,충청북도,충북,진천군,진천,36.85542,127.435602
충청북도 증평군,충북 증평,충청북도,충북,증평군,증평,36.785345,127.581507
충청북도 영동군,충북 영동,충청북도,충북,영동군,영동,36.175047,127.783423
충청북도 옥천군,충북 옥천,충청북도,충북,옥천군,옥천,36.3064369,127.5714191
충청북도 보은군,충북 보은,충청북도,충북,보은군,보은,36.489455,127.729485
충청북도 제천시,충북 제천,충청북도,충북,제천시,제천,37.132646,128.191037
충청북도 충주시,충북 충주,충청북도,충북,충주시,충주,36.991105,127.926012
충청북도 청주시,충북 청주,충청북도,충북,청주시,청주,36.6424987,127.488975
충청남도 태안군,충남 태안,충청남도,충남,태안군,태안,36.74561,126.297913
충청남도 예산군,충남 예산,충청남도,충남,예산군,예산,36.6808995,126.8447382
충청남도 홍성군,충남 홍성,충청남도,충남,홍성군,홍성,36.601324,126.660775
충청남도 청양군,충남 청양,충청남도,충남,청양군,청양,36.459151,126.802238
충청남도 서천군,충남 서천,충청남도,충남,서천군,서천,36.080286,126.6917418
충청남도 부여군,충남 부여,충청남도,충남,부여군,부여,36.275658,126.909775
충청남도 금산군,충남 금산,충청남도,충남,금산군,금산,36.108857,127.488213
충청남도 당진시,충남 당진,충청남도,충남,당진시,당진,36.8899744,126.6459003
충청남도 계룡시,충남 계룡,충청남도,충남,계룡시,계룡,36.274554,127.248633
충청남도 논산시,충남 논산,충청남도,충남,논산시,논산,36.1872399,127.0986227
충청남도 서산시,충남 서산,충청남도,충남,서산시,서산,36.7849216,126.4502766
충청남도 아산시,충남 아산,충청남도,충남,아산시,아산,36.790013,127.002474
충청남도 보령시,충남 보령,충청남도,충남,보령시,보령,36.333452,126.612803
충청남도 공주시,충남 공주,충청남도,충남,공주시,공주,36.446556,127.11904
충청남도 천안시,충남 천안,충청남도,충남,천안시,천안,36.815147,127.113892
전북특별자치도 부안군,전북 부안,전북특별자치도,전북,부안군,부안,35.731755,126.733199
전북특별자치도 고창군,전북 고창,전북특별자치도,전북,고창군,고창,35.435836,126.701973
전북특별자치도 순창군,전북 순창,전북특별자치도,전북,순창군,순창,35.374476,127.137489
전북특별자치도 임실군,전북 임실,전북특별자치도,전북,임실군,임실,35.6178286,127.2890774
전북특별자치도 장수군,전북 장수,전북특별자치도,전북,장수군,장수,35.647366,127.5215208
전북특별자치도 무주군,전북 무주,전북특별자치도,전북,무주군,무주,36.00681,127.660818
전북특별자치도 진안군,전북 진안,전북특별자치도,전북,진안군,진안,35.7917621,127.424875
전북특별자치도 완주군,전북 완주,전북특별자치도,전북,완주군,완주,35.904708,127.162019
전북특별자치도 김제시,전북 김제,전북특별자치도,전북,김제시,김제,35.8035917,126.8808375
전북특별자치도 남원시,전북 남원,전북특별자치도,전북,남원시,남원,35.416432,127.390438
전북특별자치도 정읍시,전북 정읍,전북특별자치도,전북,정읍시,정읍,35.569867,126.856038
전북특별자치도 익산시,전북 익산,전북특별자치도,전북,익산시,익산,35.948295,126.957786
전북특별자치도 군산시,전북 군산,전북특별자치도,전북,군산시,군산,35.9676263,126.736875
전북특별자치도 전주시,전북 전주,전북특별자치도,전북,전주시,전주,35.824171,127.14805
전라남도 신안군,전남 신안,전라남도,전남,신안군,신안,34.833626,126.351124
전라남도 진도군,전남 진도,전라남도,전남,진도군,진도,34.486818,126.263475
전라남도 완도군,전남 완도,전라남도,전남,완도군,완도,34.3110391,126.7548524
전라남도 장성군,전남 장성,전라남도,전남,장성군,장성,35.301943,126.784814
전라남도 영광군,전남 영광,전라남도,전남,영광군,영광,35.2772127,126.5120143
전라남도 함평군,전남 함평,전라남도,전남,함평군,함평,35.065929,126.5165816
전라남도 무안군,전남 무안,전라남도,전남,무안군,무안,34.9904886,126.4817117
전라남도 영암군,전남 영암,전라남도,전남,영암군,영암,34.8001638,126.6967961
전라남도 해남군,전남 해남,전라남도,전남,해남군,해남,34.573558,126.599225
전라남도 강진군,전남 강진,전라남도,전남,강진군,강진,34.64209,126.7672
전라남도 장흥군,전남 장흥,전라남도,전남,장흥군,장흥,34.681622,126.9070507
전라남도 화순군,전남 화순,전라남도,전남,화순군,화순,35.0645238,126.9864771
전라남도 보성군,전남 보성,전라남도,전남,보성군,보성,34.771458,127.080088
전라남도 고흥군,전남 고흥,전라남도,전남,고흥군,고흥,34.6047049,127.275507
전라남도 구례군,전남 구례,전라남도,전남,구례군,구례,35.2025096,127.4629375
전라남도 곡성군,전남 곡성,전라남도,전남,곡성군,곡성,35.2820169,127.2919779
전라남도 담양군,전남 담양,전라남도,전남,담양군,담양,35.321175,126.988175
전라남도 광양시,전남 광양,전라남도,전남,광양시,광양,34.9406575,127.6958987
전라남도 나주시,전남 나주,전라남도,전남,나주시,나주,35.015814,126.710814
전라남도 순천시,전남 순천,전라남도,전남,순천시,순천,34.9506984,127.487243
전라남도 여수시,전남 여수,전라남도,전남,여수시,여수,34.760425,127.662313
전라남도 목포시,전남 목포,전라남도,전남,목포시,목포,34.811875,126.3923375
경상북도 울릉군,경북 울릉,경상북도,경북,울릉군,울릉,37.484455,130.905697
경상북도 울진군,경북 울진,경상북도,경북,울진군,울진,36.993087,129.400394
경상북도 봉화군,경북 봉화,경상북도,경북,봉화군,봉화,36.893114,128.732503
경상북도 예천군,경북 예천,경상북도,경북,예천군,예천,36.6468844,128.4373552
경상북도 칠곡군,경북 칠곡,경상북도,경북,칠곡군,칠곡,35.9955753,128.401679
경상북도 성주군,경북 성주,경상북도,경북,성주군,성주,35.919175,128.282959
경상북도 고령군,경북 고령,경상북도,경북,고령군,고령,35.725968,128.262688
경상북도 청도군,경북 청도,경상북도,경북,청도군,청도,35.647399,128.733988
경상북도 영덕군,경북 영덕,경상북도,경북,영덕군,영덕,36.415034,129.365267
경상북도 영양군,경북 영양,경상북도,경북,영양군,영양,36.6667174,129.1123839
경상북도 청송군,경북 청송,경상북도,경북,청송군,청송,36.4362793,129.0571263
경상북도 의성군,경북 의성,경상북도,경북,의성군,의성,36.3527158,128.6971711
경상북도 경산시,경북 경산,경상북도,경북,경산시,경산,35.82509,128.741201
경상북도 문경시,경북 문경,경상북도,경북,문경시,문경,36.586522,128.186787
경상북도 상주시,경북 상주,경상북도,경북,상주시,상주,36.411002,128.159229
경상북도 영천시,경북 영천,경상북도,경북,영천시,영천,35.97326,128.938613
경상북도 영주시,경북 영주,경상북도,경북,영주시,영주,36.805667,128.624063
경상북도 구미시,경북 구미,경상북도,경북,구미시,구미,36.1195987,128.3443
경상북도 안동시,경북 안동,경상북도,경북,안동시,안동,36.568425,128.7295375
경상북도 김천시,경북 김천,경상북도,경북,김천시,김천,36.1397714,128.1136148
경상북도 경주시,경북 경주,경상북도,경북,경주시,경주,35.856242,129.224784
경상북도 포항시,경북 포항,경상북도,경북,포항시,포항,36.0190333,129.3433898
경상남도 합천군,경남 합천,경상남도,경남,합천군,합천,35.56666,128.165799
경상남도 거창군,경남 거창,경상남도,경남,거창군,거창,35.686698,127.909538
경상남도 함양군,경남 함양,경상남도,경남,함양군,함양,35.520536,127.725245
경상남도 산청군,경남 산청,경상남도,경남,산청군,산청,35.415557,127.873458
경상남도 하동군,경남 하동,경상남도,경남,하동군,하동,35.067333,127.751275
경상남도 남해군,경남 남해,경상남도,경남,남해군,남해,34.837707,127.892475
경상남도 고성군,경남 고성,경상남도,경남,고성군,고성,34.9730975,128.3222643
경상남도 창녕군,경남 창녕,경상남도,경남,창녕군,창녕,35.544611,128.492346
경상남도 함안군,경남 함안,경상남도,경남,함안군,함안,35.272315,128.406595
경상남도 의령군,경남 의령,경상남도,경남,의령군,의령,35.3222239,128.261676
경상남도 양산시,경남 양산,경상남도,경남,양산시,양산,35.335049,129.037339
경상남도 거제시,경남 거제,경상남도,경남,거제시,거제,34.8804572,128.6211703
경상남도 밀양시,경남 밀양,경상남도,경남,밀양시,밀양,35.503856,128.746712
경상남도 김해시,경남 김해,경상남도,경남,김해시,김해,35.228574,128.889322
경상남도 사천시,경남 사천,경상남도,경남,사천시,사천,35.0034774,128.0638649
경상남도 통영시,경남 통영,경상남도,경남,통영시,통영,34.85439,128.433112
경상남도 진주시,경남 진주,경상남도,경남,진주시,진주,35.180325,128.107646
경상남도 창원시,경남 창원,경상남도,경남,창원시,창원,35.2278771,128.6818746
제주특별자치도 서귀포시,제주 서귀포,제주특별자치도,제주,서귀포시,서귀포,33.253925,126.5597875
제주특별자치도 제주시,제주 제주,제주특별자치도,제주,제주시,제주,33.499568,126.531138
